mean_voltage,std_deviation,peak_count,fft_energy
0.008308454,0.114923685,35,1490.165201
0.008574813,0.114956487,46,1670.716982
0.010343271,0.124526753,44,1556.608691
0.009045004,0.100036098,48,1358.847105
0.00879411,0.126170934,49,1417.413408
0.013045775,0.132011712,42,1435.524554
0.014934062,0.115522513,39,1436.776404
0.007209502,0.131274251,41,1472.145167
0.00797332,0.121908291,49,1419.003905
0.0071716,0.132661176,38,1687.483659
0.00731869,0.115028562,39,1559.506477
0.004268473,0.110624101,35,1355.451755
0.017246223,0.121722523,37,1634.373543
0.015334681,0.125067655,42,1390.076296
0.007300086,0.135768882,44,1382.153396
0.005214933,0.116710399,48,1503.295988
0.009146054,0.119340892,43,1502.653832
0.014127543,0.120263955,46,1588.542845
0.012844463,0.110302316,42,1490.965264
0.00510034,0.105785994,47,1584.245355
0.013277083,0.102520796,38,1485.651623
0.006760988,0.113562184,47,1474.695008
0.003879151,0.114220113,45,1552.321411
0.01290455,0.115108148,48,1492.567615
0.003370305,0.127487615,45,1535.22236
0.004837875,0.130733692,41,1572.539125
0.011608079,0.12177885,41,1298.196398
0.018596761,0.107056853,38,1504.051119
0.007105209,0.109215522,37,1574.985843
0.012486592,0.107337275,41,1516.736197
0.017119551,0.107370477,36,1295.969696
0.013569568,0.104561129,44,1525.914291
0.010492955,0.137050476,43,1449.586551
0.007524897,0.106385418,41,1482.407153
-0.001965166,0.122555869,45,1535.399863
0.016439109,0.126780782,39,1467.706007
0.009034578,0.118491618,49,1480.052313
0.012503747,0.117432571,44,1661.046874
0.015490967,0.128916879,44,1591.082163
0.007131934,0.102997212,45,1366.113699
0.011095192,0.115598588,43,1577.766804
0.008599574,0.12343233,35,1381.928254
0.01339964,0.136873824,37,1431.696694
0.011690441,0.103170039,38,1417.53926
0.006973152,0.109568689,47,1424.838035
0.010711889,0.121940233,40,1427.19377
0.003513711,0.127349701,36,1597.971099
0.014554132,0.11923646,39,1587.695034
0.016144104,0.113248528,44,1366.313642
0.015717884,0.128229858,40,1650.022694
0.006579882,0.129965272,47,1456.810866
0.009144274,0.111168262,38,1516.308978
0.013108025,0.123289497,37,1621.018582
0.013368092,0.123901823,48,1532.106076
0.013797049,0.118775438,47,1720.099362
0.004594799,0.114836782,41,1425.823322
0.006290798,0.132349207,46,1397.761291
0.006265159,0.130047613,46,1544.816653
0.005109447,0.121128064,43,1546.344112
0.010802461,0.112564525,37,1418.954999
0.019029059,0.131182761,38,1576.602709
0.013598604,0.117477093,41,1686.007606
0.004075608,0.110696931,43,1488.855865
0.014294123,0.110852819,42,1581.851273
0.017024089,0.121459857,37,1524.779056
0.014244566,0.127023008,46,1445.480826
0.0185769,0.122824725,38,1553.320961
0.014144629,0.112809368,43,1554.271379
0.008418859,0.113552943,39,1527.985451
0.013945247,0.117511495,41,1591.077843
0.007196382,0.10351666,44,1499.093897
0.013316519,0.10803293,43,1460.854063
0.006135691,0.114288755,44,1417.243259
-0.001977806,0.11594007,49,1503.71873
0.015480729,0.098087996,49,1524.716664
0.008317414,0.109739725,47,1550.889976
0.001692114,0.094839796,45,1532.554758
0.015638569,0.125663097,48,1454.034283
0.009563368,0.130573442,45,1281.869608
0.013284736,0.122795472,44,1442.464351
0.00294271,0.119433382,47,1315.120431
0.002600716,0.130598282,42,1503.854942
0.017047876,0.132186279,44,1586.442745
0.010227097,0.107991116,43,1606.072328
0.006414189,0.130263161,36,1472.395688
0.009536391,0.147906701,39,1562.37164
0.013484015,0.129080044,46,1515.026722
0.020026668,0.125186817,44,1421.615062
0.006794135,0.112401108,36,1300.961698
0.009204601,0.104159967,40,1481.18774
0.016151203,0.135479284,48,1541.107663
0.010707025,0.132650744,36,1611.599197
0.010796563,0.13315107,49,1350.120735
0.007530782,0.120440305,40,1724.144093
0.020947509,0.115476706,49,1582.988477
0.012218534,0.123346214,39,1477.522252
0.012793938,0.132564329,36,1494.594157
0.013524115,0.131337959,42,1430.604777
0.012784688,0.137768561,44,1399.312699
0.016457532,0.131591032,37,1475.334319
0.002883066,0.07157223,24,1084.608915
-0.007110764,0.076854314,27,1138.141323
0.00086078,0.067107925,28,984.1650775
-0.002029525,0.09477134,25,931.5886747
-0.002338841,0.080067799,22,999.1817989
-0.007762334,0.069296835,31,900.8252701
-0.006731444,0.066240805,23,755.5172828
-0.008405699,0.076976727,31,1129.637581
-0.006685205,0.06932005,22,869.5211512
-0.00130927,0.087764438,25,936.2066958
-0.01452873,0.080653116,23,907.9349381
-0.013119593,0.091841234,26,823.548466
